FID,OBJECTID,NH_CODE,NH_NAME,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
83,83,68,STANDIFORD,7613031.651,12278.24686,1146521.305,4767.554519
84,84,67,SOUTHSIDE,25638034.42,28565.27603,3860205.398,11092.70955
85,85,40,IROQUOIS,6569698.42,12533.36383,989260.4453,4863.965257
86,86,27,EDGEWOOD,20748098.23,21220.94896,3123511.172,8242.044615
87,87,41,IROQUOIS PARK,38241372.18,26250.98818,5756227.723,10188.40292
88,88,40,IROQUOIS,11842680.55,13812.69101,1782853.488,5360.838167
89,89,66,SOUTHLAND PARK,19008090.66,17532.14688,2861172.723,6805.459489
90,90,43,KENWOOD HILL,14423643.49,17117.29218,2170671.398,6641.125471
91,91,2,AUBURNDALE,17071579.23,18911.05356,2568647.035,7333.31814
92,92,99,REMAINDER OF CITY,1073138.426,4841.452534,161473.625,1878.794408
