TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;21111011521;21;111;115.21;1
TRACT;21111011522;21;111;115.22;1
TRACT;21111011603;21;111;116.03;1
TRACT;21111011604;21;111;116.04;1
TRACT;21111011605;21;111;116.05;1
TRACT;21111011606;21;111;116.06;1
TRACT;21111011706;21;111;117.06;1
TRACT;21111011707;21;111;117.07;1
TRACT;21111011708;21;111;117.08;1
TRACT;21111011709;21;111;117.09;1
TRACT;21111011710;21;111;117.10;1
TRACT;21111011711;21;111;117.11;1
TRACT;21111011712;21;111;117.12;1
TRACT;21111011713;21;111;117.13;1
TRACT;21111011800;21;111;118.00;1
TRACT;21111011901;21;111;119.01;1
TRACT;21111011904;21;111;119.04;1
TRACT;21111011906;21;111;119.06;1
TRACT;21111011907;21;111;119.07;1
TRACT;21111011908;21;111;119.08;1
TRACT;21111011909;21;111;119.09;1
TRACT;21111012001;21;111;120.01;1
TRACT;21111012003;21;111;120.03;1
TRACT;21111012004;21;111;120.04;1
TRACT;21111012005;21;111;120.05;1
TRACT;21111012103;21;111;121.03;1
TRACT;21111012104;21;111;121.04;1
TRACT;21111012105;21;111;121.05;1
TRACT;21111012107;21;111;121.07;1
TRACT;21111012108;21;111;121.08;1
TRACT;21111012109;21;111;121.09;1
TRACT;21111012203;21;111;122.03;1
TRACT;21111012204;21;111;122.04;1
TRACT;21111012205;21;111;122.05;1
TRACT;21111012206;21;111;122.06;1
TRACT;21111012301;21;111;123.01;1
TRACT;21111012302;21;111;123.02;1
TRACT;21111012406;21;111;124.06;1
TRACT;21111012407;21;111;124.07;1
TRACT;21111012408;21;111;124.08;1
TRACT;21111012409;21;111;124.09;1
TRACT;21111012410;21;111;124.10;1
TRACT;21111012412;21;111;124.12;1
TRACT;21111012413;21;111;124.13;1
TRACT;21111012501;21;111;125.01;1
TRACT;21111012502;21;111;125.02;1
TRACT;21111012503;21;111;125.03;1
TRACT;21111012603;21;111;126.03;1
TRACT;21111012604;21;111;126.04;1
TRACT;21111012605;21;111;126.05;1
TRACT;21111012606;21;111;126.06;1
TRACT;21111012701;21;111;127.01;1
TRACT;21111012702;21;111;127.02;1
TRACT;21111012703;21;111;127.03;1
TRACT;21111012801;21;111;128.01;1
TRACT;21111012802;21;111;128.02;1
TRACT;21111013100;21;111;131.00;1
TRACT;21111980100;21;111;9801.00;1
