GEO_ID,NAME,POPULATION,BELOW_POVERTY,POVERTY_RATE
1400000US21111008700,Census Tract 87; Jefferson County; Kentucky,3585,143,4.0
1400000US21111008800,Census Tract 88; Jefferson County; Kentucky,3716,254,6.8
1400000US21111008900,Census Tract 89; Jefferson County; Kentucky,4474,371,8.3
1400000US21111009001,Census Tract 90.01; Jefferson County; Kentucky,3343,172,5.1
1400000US21111009002,Census Tract 90.02; Jefferson County; Kentucky,3511,401,11.4
1400000US21111009103,Census Tract 91.03; Jefferson County; Kentucky,1467,572,39.0
1400000US21111009105,Census Tract 91.05; Jefferson County; Kentucky,2572,770,29.9
1400000US21111009106,Census Tract 91.06; Jefferson County; Kentucky,4816,821,17.0
1400000US21111009300,Census Tract 93; Jefferson County; Kentucky,4948,323,6.5
1400000US21111009401,Census Tract 94.01; Jefferson County; Kentucky,2754,230,8.4
1400000US21111009402,Census Tract 94.02; Jefferson County; Kentucky,2768,202,7.3
1400000US21111009600,Census Tract 96; Jefferson County; Kentucky,4791,172,3.6
1400000US21111009700,Census Tract 97; Jefferson County; Kentucky,2533,103,4.1
1400000US21111009800,Census Tract 98; Jefferson County; Kentucky,2568,173,6.7
1400000US21111009900,Census Tract 99; Jefferson County; Kentucky,2586,275,10.6
1400000US21111010001,Census Tract 100.01; Jefferson County; Kentucky,4190,175,4.2
1400000US21111010004,Census Tract 100.04; Jefferson County; Kentucky,4016,253,6.3
1400000US21111010005,Census Tract 100.05; Jefferson County; Kentucky,4775,401,8.4
1400000US21111010006,Census Tract 100.06; Jefferson County; Kentucky,3633,292,8.0
1400000US21111010007,Census Tract 100.07; Jefferson County; Kentucky,4166,153,3.7
1400000US21111010008,Census Tract 100.08; Jefferson County; Kentucky,4592,342,7.4
1400000US21111010102,Census Tract 101.02; Jefferson County; Kentucky,4466,67,1.5
1400000US21111010103,Census Tract 101.03; Jefferson County; Kentucky,3613,439,12.2
1400000US21111010104,Census Tract 101.04; Jefferson County; Kentucky,2842,272,9.6
1400000US21111010309,Census Tract 103.09; Jefferson County; Kentucky,4384,112,2.6
1400000US21111010312,Census Tract 103.12; Jefferson County; Kentucky,2952,72,2.4
1400000US21111010313,Census Tract 103.13; Jefferson County; Kentucky,6372,106,1.7
1400000US21111010314,Census Tract 103.14; Jefferson County; Kentucky,6700,502,7.5
1400000US21111010315,Census Tract 103.15; Jefferson County; Kentucky,4384,237,5.4
1400000US21111010316,Census Tract 103.16; Jefferson County; Kentucky,6531,638,9.8
1400000US21111010317,Census Tract 103.17; Jefferson County; Kentucky,4724,73,1.5
1400000US21111010318,Census Tract 103.18; Jefferson County; Kentucky,5311,327,6.2
