GEOID,TRACT,HOUSEHOLD_INCOME_USD,HOME_VALUE_USD,GROSS_RENT_USD,POVERTY_RATE_PCT,RENT_BURDEN_PCT,OLDER_HOUSING_PCT,PERMIT_COUNT
21111007900,79,87917.0,390800.0,1126.0,5.5,13.031914893617023,88.24742268041237,12
21111008100,81,89032.0,252700.0,1451.0,7.3,16.96113074204947,63.55024711696869,18
21111008201,82.01,94911.0,679200.0,1170.0,6.4,15.686274509803921,91.6077738515901,13
21111008202,82.02,58000.0,589400.0,1228.0,14.5,25.75928008998875,86.93333333333332,13
21111008300,83,77708.0,481800.0,1300.0,4.0,16.873889875666073,96.50499286733239,15
21111008400,84,95313.0,345300.0,1356.0,7.0,8.181818181818182,97.5393028024607,12
21111008500,85,116932.0,410200.0,1154.0,13.8,39.130434782608695,89.85629754860524,4
21111008700,87,171175.0,610500.0,1035.0,4.0,5.333333333333334,91.20521172638436,32
21111008800,88,105234.0,486100.0,1167.0,6.8,29.455445544554454,93.87417218543047,34
21111008900,89,98618.0,429400.0,1118.0,8.3,13.131313131313133,80.44817927170868,18
21111009001,90.01,56719.0,131800.0,1079.0,5.1,19.491525423728813,95.48104956268222,31
21111009002,90.02,68640.0,203200.0,889.0,11.4,35.412474849094565,91.94253591505309,13
21111009103,91.03,44432.0,139700.0,1018.0,39.0,39.52569169960474,89.3581081081081,10
21111009105,91.05,32244.0,117200.0,1068.0,29.9,35.98200899550225,58.17717206132878,9
21111009106,91.06,56344.0,169100.0,1169.0,17.0,31.61290322580645,64.49787835926449,10
21111009300,93,91995.0,249000.0,1266.0,6.5,10.79136690647482,96.23500206868019,21
21111009401,94.01,84750.0,293600.0,938.0,8.4,32.926829268292686,92.5226586102719,15
21111009402,94.02,84383.0,183800.0,1008.0,7.3,3.543307086614173,91.45569620253164,14
21111009600,96,105145.0,344000.0,1345.0,3.6,16.52173913043478,90.26268115942028,25
21111009700,97,72432.0,266400.0,1436.0,4.1,13.445378151260504,96.20967741935483,13
21111009800,98,99904.0,396400.0,1698.0,6.7,11.285266457680251,93.17681584739546,20
21111009900,99,88906.0,320400.0,1225.0,10.6,24.12790697674419,92.17456734386758,10
21111010001,100.01,110938.0,389200.0,2123.0,4.2,26.29310344827586,76.62209014363548,25
21111010004,100.04,66370.0,273000.0,1264.0,6.3,16.833333333333332,42.844202898550726,9
21111010005,100.05,83578.0,238900.0,1377.0,8.4,33.396584440227706,63.861617578307616,18
21111010006,100.06,64392.0,266700.0,1275.0,8.0,20.689655172413794,72.6520968694625,31
21111010007,100.07,102000.0,355200.0,2133.0,3.7,19.375,83.97565922920892,27
21111010008,100.08,76157.0,331100.0,1666.0,7.4,28.33957553058677,56.103763987792476,19
21111010102,101.02,118224.0,384700.0,2023.0,1.5,16.3265306122449,52.97651556526488,29
21111010103,101.03,67250.0,307900.0,1244.0,12.2,31.794871794871792,35.78995854444956,16
21111010104,101.04,75191.0,274700.0,1279.0,9.6,25.38540596094553,42.98693923906871,19
21111010309,103.09,104926.0,456400.0,1499.0,2.6,17.71058315334773,16.99661999034283,23
21111010312,103.12,133333.0,463900.0,1193.0,2.4,8.333333333333332,40.48913043478261,15
21111010313,103.13,136345.0,617600.0,2293.0,1.7,26.168224299065418,4.620123203285421,35
21111010314,103.14,133672.0,434400.0,2050.0,7.5,33.33333333333333,9.620758483033933,29
21111010315,103.15,109271.0,548600.0,1777.0,5.4,16.550925925925927,1.507537688442211,24
21111010316,103.16,160238.0,495200.0,1340.0,9.8,23.195876288659793,15.414507772020725,34
21111010317,103.17,181412.0,481100.0,2287.0,1.5,,26.875699888017916,25
21111010318,103.18,111180.0,441400.0,1619.0,6.2,19.46524064171123,45.752175714877744,29
21111010319,103.19,85113.0,302900.0,1129.0,5.2,9.481216457960643,19.709355131698455,22
21111010320,103.20,84038.0,303400.0,1390.0,9.3,10.333863275039745,22.776711452335253,24
21111010321,103.21,145625.0,403800.0,2669.0,4.1,,5.803757828810021,39
21111010322,103.22,190938.0,603600.0,,3.8,,5.183946488294314,26
21111010323,103.23,83068.0,249000.0,1406.0,7.0,35.38961038961039,24.405594405594407,7
21111010324,103.24,73833.0,273200.0,1416.0,10.2,45.56574923547401,27.91750503018109,17
21111010403,104.03,100231.0,347500.0,1683.0,4.2,19.109461966604822,23.250239693192714,26
21111010405,104.05,68197.0,328000.0,1451.0,12.7,30.47752808988764,33.79648549243972,13
21111010406,104.06,110223.0,459000.0,1544.0,10.3,20.678336980306344,29.013079667063018,43
21111010407,104.07,79821.0,328700.0,1561.0,5.7,17.264276228419657,20.917822838847385,24
21111010408,104.08,75000.0,316500.0,1428.0,6.0,38.78504672897196,43.49680170575693,55
21111010500,105,82396.0,421100.0,1418.0,11.7,12.8099173553719,89.89845002672368,19
21111010601,106.01,95641.0,351900.0,1329.0,7.5,14.243323442136498,80.14623172103487,22
21111010602,106.02,64770.0,340100.0,1315.0,6.8,18.962075848303392,34.86370157819225,12
21111010701,107.01,98452.0,542600.0,1657.0,4.8,8.90937019969278,50.17695635076681,33
21111010702,107.02,79156.0,325500.0,1301.0,7.2,13.629518072289157,47.954055994257,18
21111010706,107.06,97611.0,362500.0,1428.0,3.4,11.155378486055776,69.87148976677773,20
21111010707,107.07,97890.0,332200.0,1364.0,5.3,3.119584055459272,64.15410385259631,2
21111010708,107.08,82184.0,330300.0,1564.0,3.8,8.557046979865772,55.33731853116994,13
21111010800,108,78480.0,253500.0,1351.0,8.3,23.897911832946637,79.38461538461539,15
