ISSUE_DATE,ADDRESS,CITY,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD
2024-12-27 05:00:00,5305 KATY BELLE CT,LOUISVILLE,40213,38.17217495,-85.69524492,21.0,
2024-12-27 05:00:00,11501 MAGNOLIA VIEW CT,LOUISVILLE,40299,38.18503879,-85.55604974,20.0,
2024-12-27 05:00:00,3825 MAMARONECK RD,LOUISVILLE,40218,38.20454449,-85.63924223,10.0,
2024-12-27 05:00:00,5404 RIVER ROCK DR,LOUISVILLE,40241,38.32270191,-85.54182967,16.0,
2024-12-27 05:00:00,3807 MEADOW HAVEN RD,LOUISVILLE,40218,38.19343073,-85.62230153,2.0,
2024-12-27 05:00:00,831 CHEROKEE RD,LOUISVILLE,40204,38.24368771,-85.72406001,8.0,
2024-12-27 05:00:00,"2430 MCKENDREE CT, 103",LOUISVILLE,40211,38.24825438,-85.79317686,4.0,
2024-12-27 05:00:00,1508 CORNETTE WAY,LOUISVILLE,40216,38.176816,-85.80914168,15.0,
2024-12-26 05:00:00,"605 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23612898,-85.49220511,11.0,
2024-12-26 05:00:00,"607 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23638322,-85.49216039,11.0,
2024-12-26 05:00:00,"601 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23553283,-85.49206942,11.0,
2024-12-26 05:00:00,"603 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23578927,-85.49216816,11.0,
2024-12-26 05:00:00,"600 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23517619,-85.49201521,11.0,
2024-12-26 05:00:00,"602 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23525895,-85.49172036,11.0,
2024-12-26 05:00:00,"606 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23569173,-85.49140318,11.0,
2024-12-26 05:00:00,"608 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23594425,-85.4914509,11.0,
2024-12-26 05:00:00,8201 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24415352,-85.60596427,18.0,
2024-12-26 05:00:00,203 HOFFMAN LN,LOUISVILLE,40222,38.24504006,-85.60590706,18.0,
2024-12-26 05:00:00,404 BELL LN,LOUISVILLE,40222,38.24360142,-85.604237,18.0,
2024-12-26 05:00:00,1009 QUEEN AVE,LOUISVILLE,40215,38.20212044,-85.77677993,15.0,
2024-12-26 05:00:00,2303 S ENGLISH STATION RD,LOUISVILLE,40299,38.2025509,-85.48092963,11.0,
2024-12-26 05:00:00,2647 DRAYTON DR,LOUISVILLE,40205,38.22416372,-85.66993975,8.0,
2024-12-26 05:00:00,1814 W LEE ST,LOUISVILLE,40210,38.22653722,-85.79194569,6.0,
2024-12-26 05:00:00,14506 GABLEWOOD PL,LOUISVILLE,40245,38.23231677,-85.48378282,11.0,
2024-12-26 05:00:00,3910 JENICA WAY,LOUISVILLE,40241,38.30723505,-85.60445425,16.0,
2024-12-26 05:00:00,2229 MILLVALE RD,LOUISVILLE,40205,38.22991245,-85.68281981,8.0,
2024-12-26 05:00:00,1405 ROSEWOOD AVE,LOUISVILLE,40204,38.23132643,-85.72158956,8.0,
2024-12-26 05:00:00,1806 MILBURT DR,LYNDON,40223,38.27204099,-85.5604121,17.0,
2024-12-24 05:00:00,839 LAKE FOREST PKY,LOUISVILLE,40245,38.25282002,-85.48659294,19.0,
2024-12-24 05:00:00,1924 PAYNE ST,LOUISVILLE,40206,38.25221121,-85.71203595,9.0,
2024-12-24 05:00:00,2204 HIGHLAND SPRINGS PL,LOUISVILLE,40245,38.26996708,-85.47846829,19.0,
2024-12-23 05:00:00,8201 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24415352,-85.60596427,18.0,
2024-12-23 05:00:00,4015 COLLINS LN,LOUISVILLE,40245,38.30186395,-85.52177958,19.0,
2024-12-23 05:00:00,8201 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24415352,-85.60596427,18.0,
2024-12-23 05:00:00,300 WALKER HOUSE LN,LOUISVILLE,40222,38.24468266,-85.60559753,18.0,
2024-12-23 05:00:00,302 WALKER HOUSE LN,LOUISVILLE,40222,38.24435945,-85.60536797,18.0,
2024-12-23 05:00:00,401 BELL LN,LOUISVILLE,40222,38.24400178,-85.60499338,18.0,
2024-12-23 05:00:00,403 BELL LN,LOUISVILLE,40222,38.24372664,-85.60477271,18.0,
2024-12-23 05:00:00,200 HOFFMAN LN,LOUISVILLE,40222,38.24564936,-85.60623886,18.0,
2024-12-23 05:00:00,301 WALKER HOUSE LN,LOUISVILLE,40222,38.24470996,-85.60501701,18.0,
2024-12-23 05:00:00,3606 SASSE WAY,LOUISVILLE,40245,38.28377149,-85.47795531,19.0,
2024-12-23 05:00:00,2004 OLMSTED VIEW CT,LOUISVILLE,40205,38.23205427,-85.68709712,8.0,
2024-12-23 05:00:00,2406 ROCKFORD LN,LOUISVILLE,40216,38.17608686,-85.84156201,1.0,
2024-12-23 05:00:00,1820 CIMMARON TRL,LOUISVILLE,40223,38.27573587,-85.57185341,7.0,
2024-12-23 05:00:00,7800 KENBROOK PL,LOUISVILLE,40258,38.14157737,-85.88395409,14.0,
2024-12-23 05:00:00,5310 HEMPSTEAD RD,INDIAN HILLS,40207,38.28409945,-85.65055761,16.0,
2024-12-23 05:00:00,2611 WELSFORD WAY,MEADOW VALE,40242,38.28213203,-85.56899096,17.0,
2024-12-23 05:00:00,206 ALVINA WAY,LOUISVILLE,40214,38.14966789,-85.76795658,25.0,
2024-12-23 05:00:00,4308 STONEMEADOW CT,LOUISVILLE,40218,38.19149565,-85.61645417,2.0,
2024-12-23 05:00:00,1004 WILLIAMSBURG CT,ST MATTHEWS,40207,38.23716348,-85.64783504,9.0,
2024-12-23 05:00:00,9514 INDIAN PIPE LN,LOUISVILLE,40059,38.32622401,-85.56298965,16.0,
2024-12-23 05:00:00,255 KENOAK DR,LOUISVILLE,40214,38.16623805,-85.77338181,21.0,
2024-12-23 05:00:00,8906 FOX CHASE PL,LOUISVILLE,40228,38.11626797,-85.61003134,23.0,
2024-12-23 05:00:00,2300 MANCHESTER RD,WELLINGTON,40205,38.21671714,-85.67204471,8.0,
2024-12-23 05:00:00,3540 VERMONT AVE,LOUISVILLE,40211,38.25576569,-85.81100086,5.0,
2024-12-23 05:00:00,5933 ASHWOOD BLUFF DR,LOUISVILLE,40207,38.282838,-85.64076797,16.0,
2024-12-23 05:00:00,8512 BAYOU WAY,PLANTATION,40242,38.283945,-85.59448036,7.0,
2024-12-23 05:00:00,"5505 LODEMA WAY, 5",LOUISVILLE,40219,38.16977456,-85.68509609,2.0,
2024-12-23 05:00:00,3340 HIDDEN LAKE CT,LOUISVILLE,40023,38.18813036,-85.44219718,20.0,
2024-12-22 05:00:00,2011 W BURNETT AVE,LOUISVILLE,40210,38.2306684,-85.7913997,6.0,
2024-12-20 05:00:00,6840 DIXIE HWY,LOUISVILLE,40258,38.1519916,-85.83910003,12.0,
