GEOID,TRACT,HOUSEHOLD_INCOME_USD,HOME_VALUE_USD,GROSS_RENT_USD,POVERTY_RATE_PCT,RENT_BURDEN_PCT,OLDER_HOUSING_PCT,PERMIT_COUNT,HOUSEHOLD_INCOME_USD_scaled,HOME_VALUE_USD_scaled,GROSS_RENT_USD_scaled,POVERTY_RATE_PCT_scaled,RENT_BURDEN_PCT_scaled,OLDER_HOUSING_PCT_scaled,NEED_INDEX
21111000201,2.01,35825.0,44800.0,1141.0,34.2,31.046931407942242,86.22908622908622,13.0,0.852737768004398,0.9524095481158985,0.3831247476786435,0.40380047505938244,0.3252004713149448,0.8601830693667427,0.6295760132566683
21111000202,2.02,17039.0,82200.0,1288.0,52.4,64.8936170212766,89.78805394990366,2.0,0.9560142935678945,0.8962618225491668,0.44247073072264836,0.6199524940617577,0.7003840067730328,0.8963174865321851,0.7519001390344475
21111000300,3,34764.0,64300.0,1234.0,27.1,18.493150684931507,91.24423963133641,6.0,0.8585706432105553,0.9231346644647951,0.42067016552280984,0.3194774346793349,0.18604439887607638,0.9111022289099973,0.6031665892772614
21111000400,4,41713.0,105700.0,1012.0,20.6,27.27272727272727,94.7677261613692,15.0,0.8203683342495877,0.8609818345593755,0.3310456197012515,0.24228028503562948,0.28336419620171394,0.9468764033730852,0.5808194455201072
21111000600,6,30734.0,62700.0,752.0,26.2,35.35791757049891,51.27020785219399,9.0,0.8807256734469489,0.9255367062002702,0.22607993540573273,0.3087885985748218,0.3729868645900874,0.5052434368666635,0.5365602025140874
21111000700,7,24973.0,141000.0,962.0,42.0,25.817757009345794,96.39368895567243,7.0,0.9123969213853765,0.8079867887704548,0.31085991118288253,0.4964370546318289,0.2672361506483617,0.9633849031723885,0.6263836216318822
21111000800,8,42311.0,118300.0,1116.0,34.4,46.36015325670498,93.23076923076923,8.0,0.8170808136338648,0.8420657558925086,0.373031893419459,0.40617577197149635,0.49494438001274116,0.9312715855572998,0.6440950334145615
21111000900,9,20027.0,99500.0,901.0,46.9,31.45009416195857,93.3933933933934,11.0,0.9395876855415063,0.8702897462843417,0.28623334679047235,0.5546318289786223,0.3296694473660969,0.9329227186370044,0.6522224622663407
21111001000,10,67373.0,110100.0,1110.0,24.6,24.71698113207547,94.47236180904522,21.0,0.6793018141836173,0.8543762197868188,0.37060960839725476,0.28978622327790976,0.25503427687852487,0.9438775510204082,0.5654976155907555
21111001100,11,46513.0,122700.0,675.0,28.6,39.89547038327526,93.18832283915283,8.0,0.7939802089059923,0.8354601411199519,0.1949939442874445,0.33729216152019004,0.4232847024958034,0.9308406247444598,0.5859752971789737
21111001200,12,30729.0,,1274.0,42.2,34.9911190053286,91.00135317997294,9.0,0.8807531610775151,,0.43681873233750507,0.498812351543943,0.3689209780789622,0.9086361878987048,0.6187882821873261
21111001400,14,26510.0,,1007.0,53.8,35.87257617728532,13.946869070208729,5.0,0.9039472237493128,,0.32902704884941464,0.6365795724465557,0.3786917491939727,0.1262972931107927,0.4749085774700097
21111001500,15,31104.0,67700.0,1016.0,46.4,20.5607476635514,73.39514978601997,17.0,0.8786915887850467,0.9180303257769103,0.33266047638272106,0.5486935866983372,0.20896328532785538,0.7298793269090803,0.6028197649799918
21111001600,16,42646.0,104300.0,1017.0,22.2,25.795053003533567,89.1072891072891,11.0,0.8152391423859263,0.8630836210779163,0.3330641905530884,0.26128266033254155,0.26698448142239956,0.8894056394056394,0.5715099558629185
21111001700,17,50455.0,87400.0,1020.0,26.7,18.220338983050848,96.99612403100775,8.0,0.7723089609675646,0.8884551869088726,0.33427533306419055,0.3147268408551069,0.18302033737725712,0.9695014633760481,0.57704802042484
21111001800,18,16563.0,66400.0,978.0,60.6,30.924855491329478,86.95652173913044,16.0,0.9586311159978009,0.9199819846869839,0.3173193379087606,0.7173396674584323,0.3238472849346801,0.8675687666370896,0.6841146929372912
21111002100,21,30526.0,51400.0,811.0,38.7,20.32520325203252,91.4859437751004,12.0,0.8818691588785047,0.9425011259570635,0.24989907145740817,0.4572446555819477,0.20635232406326903,0.9135562658798458,0.6085704336363398
21111002300,23,25903.0,77800.0,1000.0,42.2,51.508120649651964,80.72866730584852,12.0,0.907284222100055,0.9028674373217235,0.32620104965684293,0.498812351543943,0.5520085377554979,0.8043369792787681,0.665251762942805
21111002401,24.01,30058.0,85500.0,,28.0,23.8013698630137,78.26086956521739,14.0,0.8844420010995052,0.8913076114697492,,0.33016627078384797,0.24488491463501685,0.7792812777284827,0.6260164151433203
21111002402,24.02,44594.0,,1016.0,29.0,19.50078003120125,46.142093200916726,27.0,0.8045299615173171,,0.33266047638272106,0.342042755344418,0.19721376254386982,0.45317737484604226,0.4259248661268737
21111002700,27,36425.0,84900.0,920.0,37.4,18.82202304737516,80.8695652173913,39.0,0.8494392523364486,0.8922083771205525,0.2939039160274526,0.44180522565320657,0.18968988124518177,0.8057675244010647,0.5788023627973179
21111002800,28,41944.0,73700.0,1072.0,40.9,34.90566037735849,92.5233644859813,14.0,0.8190984057174271,0.9090226692688785,0.3552684699232943,0.48337292161520184,0.3679736867978155,0.9240892618729735,0.6431375691992651
21111003000,30,14107.0,,695.0,76.9,35.47904191616767,47.33796296296296,6.0,0.9721330401319406,,0.20306822769479208,0.9109263657957245,0.3743295030025217,0.4653191137566137,0.5851552500763185
21111003501,35.01,31786.0,,1113.0,61.4,41.51291512915129,12.994350282485875,1.0,0.8749422759758109,,0.37182075090835687,0.7268408551068883,0.441213744207551,0.11662631154156577,0.5062887875480346
21111003502,35.02,9038.0,71000.0,192.0,84.4,18.851251840942563,95.88313413014609,2.0,1.0,0.9130761146974928,0.0,1.0,0.1900138763988896,0.9582012087703609,0.676881866644457
21111003600,36,36133.0,100100.0,1009.0,26.0,21.405405405405407,88.09751434034416,11.0,0.8510445299615172,0.8693889806335385,0.32983447719014936,0.30641330166270786,0.21832614234319586,0.8791533343739024,0.5756934610275019
21111003700,37,38661.0,101500.0,974.0,36.1,26.172465960665658,69.77205153617443,2.0,0.8371467839472237,0.8672871941149978,0.31570448122729106,0.42636579572446553,0.27116802628118253,0.6930937885560567,0.5684610116418695
21111003800,38,45952.0,103700.0,1220.0,32.0,30.5,95.48762736535662,10.0,0.797064321055525,0.8639843867287194,0.41501816713766654,0.37767220902612825,0.3191378493604926,0.9541856043727533,0.6211770896135476
21111003900,39,36406.0,96700.0,1054.0,23.2,21.58273381294964,92.3396674584323,15.0,0.8495437053326003,0.8744933193214233,0.34800161485668146,0.2731591448931116,0.22029179119991546,0.9222241747055117,0.5812856250515406
21111004000,40,65800.0,104300.0,931.0,28.6,20.5607476635514,85.92493297587131,6.0,0.6879494227597581,0.8630836210779163,0.2983447719014937,0.33729216152019004,0.20896328532785538,0.8570949827652241,0.5421213742254062
21111004100,41,37404.0,106300.0,826.0,31.9,8.811188811188812,88.43853820598007,7.0,0.8440571742715778,0.8600810689085723,0.2559547840129189,0.37648456057007124,0.07872184660436674,0.8826157705607159,0.5496525341547038
21111004301,43.01,22098.0,121900.0,989.0,45.0,22.486772486772484,75.83857442348008,10.0,0.9282023089609676,0.8366611619876896,0.3217601937828018,0.5320665083135392,0.2303128736098892,0.7546875668506396,0.6006151022509211
21111004302,43.02,51277.0,108900.0,1168.0,20.8,26.382978723404253,63.547758284600384,9.0,0.7677899945024739,0.8561777510884252,0.3940250302785628,0.24465558194774348,0.273501516877148,0.6298981580936468,0.5276746721313335
21111004400,44,45662.0,175100.0,927.0,24.5,24.38764643237487,85.37258509659613,19.0,0.7986586036283673,0.7567932742831407,0.29672991522002423,0.28859857482185275,0.251383669596197,0.851486960929726,0.5406084997465513
21111004500,45,58720.0,154000.0,1191.0,24.1,22.59194395796848,87.67890479153702,15.0,0.7268719076415613,0.7884701996697192,0.4033104561970125,0.2838479809976247,0.23147867769609776,0.8749031659957075,0.5514803980329539
21111004600,46,52866.0,170200.0,827.0,15.4,19.160104986876643,91.19699409554482,22.0,0.7590544255085212,0.7641495270980333,0.2563584981832862,0.1805225653206651,0.19343744987821573,0.9106225420925215,0.5106908346802072
21111004900,49,45830.0,250000.0,1089.0,27.3,12.833061446438283,66.94885361552029,34.0,0.7977350192413414,0.64434769554121,0.36213161081953976,0.32185273159144895,0.12330347600504774,0.6644296872188029,0.48563337006956514
21111005000,50,19702.0,,910.0,59.2,20.35053554040896,68.62891207153503,6.0,0.9413743815283122,,0.2898667743237788,0.7007125890736342,0.20663312725986244,0.6814874235834424,0.5640148591538059
21111005100,51,30090.0,422200.0,787.0,38.7,26.572327044025158,75.4017305315204,10.0,0.8842660802638813,0.38582795376069656,0.24020993136859103,0.4572446555819477,0.2756004039934574,0.7502522640700285,0.49890021483976704
21111005200,52,53750.0,415500.0,896.0,17.0,21.428571428571427,96.2280701754386,14.0,0.754194612424409,0.3958865035279988,0.2842147759386354,0.1995249406175772,0.21858293293631992,0.9617033655567491,0.4690178551669482
21111005300,53,36012.0,472200.0,986.0,38.9,20.522388059701495,82.12824010914052,3.0,0.8517097306212205,0.3107641495270981,0.32054905127169964,0.4596199524940617,0.20853807702369254,0.8185469276387226,0.4949546480960825
21111005600,56,27981.0,134500.0,998.0,50.1,39.17616126205083,81.23595505617978,7.0,0.8958603628367234,0.8177450833208226,0.3253936213161082,0.5926365795724465,0.41531130911036923,0.8094875028663151,0.6427390765037976
21111005901,59.01,12294.0,,256.0,58.9,3.78416257883672,59.268004722550174,6.0,0.9821000549752611,,0.025837706903512312,0.6971496437054631,0.02299829670524834,0.5864455581524227,0.46290625208838154
21111005902,59.02,55491.0,239700.0,1226.0,23.7,20.189274447949526,63.427445830597506,17.0,0.7446234194612424,0.6598108392133313,0.4174404521598708,0.27909738717339666,0.20484558127997105,0.6286766183820869,0.48908238294498313
21111006200,62,39375.0,168800.0,1008.0,42.2,28.84955752212389,57.82073813708261,15.0,0.8332215503023639,0.7662513136165741,0.32943076301978197,0.498812351543943,0.30084303458915157,0.5717513719020122,0.5500517308289711
21111006300,63,71611.0,232000.0,1198.0,14.3,19.771863117870723,89.03591682419659,9.0,0.656003298515668,0.6713706650653055,0.40613645538958415,0.167458432304038,0.20021866269927754,0.8886809922456694,0.4983114177032571
21111006400,64,69596.0,301900.0,1300.0,10.3,22.857142857142858,88.27586206896552,10.0,0.6670808136338647,0.5664314667467347,0.44731530076705694,0.11995249406175773,0.23441835284563847,0.8809641097818438,0.4860270896394827
21111006500,65,42946.0,192400.0,1044.0,39.9,27.22222222222222,92.43281471004244,4.0,0.8135898845519516,0.7308211980183156,0.34396447315300765,0.4714964370546318,0.28280435812411175,0.9231699044540023,0.5943077092260034
21111006600,66,50170.0,314000.0,957.0,14.9,14.917127071823206,97.0064148253742,15.0,0.7738757559098406,0.5482660261222039,0.3088413403310456,0.17458432304038005,0.1464049140126305,0.9696059464412992,0.48692971764289994
