,TRACT,TOTAL,Less than 10.0 percent,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed
112,105,726,13,140,63,38,171,80,33,0,93,95
113,106.01,674,28,106,134,62,65,34,11,73,96,65
114,106.02,"1,503",28,124,233,218,153,148,76,238,285,0
115,107.01,"1,302",36,292,248,126,228,95,46,100,116,15
116,107.02,"1,328",33,175,131,359,77,135,68,148,181,21
117,107.06,251,25,0,55,42,71,0,0,15,28,15
118,107.07,577,8,148,58,77,68,25,141,16,18,18
119,107.08,596,17,43,116,177,8,119,13,21,51,31
120,108,431,15,90,35,35,85,18,22,12,103,16
121,109.01,883,0,44,50,23,129,162,32,52,370,21
122,109.02,331,0,63,8,27,45,0,53,71,37,27
123,110.03,657,0,137,42,162,67,46,29,147,27,0
124,110.05,697,139,33,105,106,33,66,49,32,116,18
125,110.06,"1,069",66,111,161,223,78,138,42,47,156,47
126,110.07,928,45,19,32,174,118,21,188,140,164,27
127,110.08,"1,210",12,90,279,122,221,21,126,23,306,10
128,110.09,276,0,18,23,8,41,92,0,0,85,9
129,111.09,442,0,0,68,15,206,40,35,4,69,5
130,111.10,589,0,82,228,26,61,40,12,0,121,19
131,111.11,584,0,180,61,21,83,16,20,42,125,36
132,111.12,492,0,183,92,51,89,11,0,11,55,0
133,111.13,422,0,10,54,127,24,65,62,10,70,0
134,111.14,162,24,0,27,11,25,25,36,0,14,0
135,111.15,362,12,53,69,47,7,0,16,23,125,10
136,111.16,582,0,41,86,158,65,31,29,22,122,28
137,111.17,713,0,32,172,43,125,17,103,33,135,53
138,111.18,318,0,20,12,124,28,12,0,25,97,0
139,112.01,656,9,14,47,42,212,71,20,0,211,30
140,112.02,"1,110",36,0,102,21,134,149,5,166,381,116
141,113.01,329,12,20,67,64,43,8,6,17,57,35
142,113.02,"1,355",0,0,256,152,223,129,165,0,228,202
143,114.03,128,0,41,0,3,5,18,0,19,32,10
144,114.04,"1,209",2,15,82,123,127,104,155,37,485,79
145,114.05,987,0,182,234,16,9,53,48,186,178,81
146,114.06,"1,568",49,92,97,212,206,84,184,184,438,22
147,115.06,384,0,59,30,21,27,43,0,26,58,120
148,115.08,573,0,121,49,82,91,65,34,0,44,87
149,115.09,978,0,45,25,61,145,59,154,79,349,61
150,115.13,377,0,40,0,17,118,98,32,10,62,0
151,115.14,468,0,9,80,16,145,0,64,116,8,30
152,115.15,62,0,10,0,10,0,0,0,0,33,9
153,115.16,552,0,13,67,178,61,38,51,16,71,57
154,115.17,515,0,39,124,68,64,43,0,12,165,0
155,115.18,12,0,5,7,0,0,0,0,0,0,0
156,115.19,599,0,89,61,144,101,102,58,28,16,0
157,115.20,349,18,8,22,78,91,47,3,0,82,0
158,115.21,770,9,138,184,18,31,212,5,12,66,95
159,115.22,112,6,10,0,33,62,0,0,0,0,1
160,116.03,229,15,0,41,56,31,0,0,0,0,86
161,116.04,38,0,0,9,0,0,0,0,0,29,0
162,116.05,"1,214",128,27,308,256,38,14,194,38,95,116
163,116.06,50,0,0,0,0,0,36,0,0,8,6
164,117.06,116,12,12,0,0,0,56,20,0,0,16
165,117.07,304,0,86,59,25,118,0,0,4,12,0
166,117.08,415,0,58,68,24,43,0,91,0,71,60
167,117.09,194,2,11,39,0,0,0,142,0,0,0
168,117.10,503,8,108,121,19,44,26,0,96,81,0
169,117.11,578,0,318,73,75,28,0,0,0,84,0
170,117.12,"1,234",66,71,163,229,363,49,4,59,207,23
171,117.13,660,0,54,43,40,61,163,3,182,96,18
172,118,410,0,55,19,18,164,53,0,23,78,0
173,119.01,208,0,17,0,0,15,28,86,12,50,0
174,119.04,636,45,80,108,96,151,17,53,0,29,57
175,119.06,"1,626",88,296,99,21,378,69,77,39,383,176
176,119.07,270,24,24,36,32,19,19,26,19,61,10
177,119.08,474,0,22,79,27,62,8,6,85,166,19
178,119.09,710,0,0,57,152,130,45,2,44,175,105
179,120.01,669,18,177,113,148,15,29,51,0,84,34
180,120.03,145,0,0,78,12,45,0,0,0,0,10
181,120.04,222,0,12,0,12,50,38,21,65,13,11
182,120.05,685,11,0,82,36,174,14,36,179,153,0
183,121.03,418,16,68,40,35,59,8,0,11,140,41
184,121.04,297,0,0,13,39,16,89,0,48,65,27
185,121.05,773,19,64,53,233,59,119,16,0,203,7
186,121.07,577,0,12,225,76,25,31,14,52,97,45
187,121.08,331,18,18,111,54,56,0,0,42,22,10
188,121.09,252,0,0,40,46,0,31,5,9,107,14
189,122.03,577,0,41,73,24,0,56,139,0,179,65
190,122.04,985,164,56,20,149,108,182,159,33,114,0
191,122.05,250,0,0,0,43,0,13,48,70,21,55
192,122.06,674,35,209,0,94,28,188,0,28,75,17
193,123.01,120,0,25,19,0,33,0,0,0,43,0
194,123.02,674,0,0,47,87,169,0,26,113,149,83
195,124.06,739,0,10,338,121,0,63,27,0,121,59
196,124.07,426,25,41,27,113,10,0,15,7,120,68
197,124.08,312,0,27,8,85,25,0,46,0,89,32
198,124.09,189,0,62,0,44,39,21,0,12,0,11
199,124.10,520,0,37,68,127,21,16,39,121,91,0
200,124.12,242,0,41,48,0,14,13,64,52,10,0
201,124.13,260,0,0,0,11,0,0,10,0,239,0
202,125.01,864,62,29,0,112,128,113,170,48,202,0
203,125.02,420,78,0,22,25,36,0,0,62,197,0
204,125.03,308,0,33,20,21,28,0,0,28,178,0
205,126.03,513,0,76,40,28,105,78,0,0,103,83
206,126.04,754,0,74,218,69,150,0,64,103,64,12
207,126.05,625,0,118,93,22,58,28,67,11,228,0
208,126.06,398,62,1,64,101,64,0,18,0,22,66
209,127.01,"1,097",0,91,14,208,120,34,56,91,380,103
210,127.02,114,0,0,4,6,8,0,39,18,33,6
211,127.03,570,57,0,196,63,17,74,0,0,107,56
212,128.01,334,7,44,27,0,12,39,14,74,92,25
213,128.02,448,12,87,0,43,113,15,0,14,123,41
214,131,49,0,4,23,3,0,0,3,3,9,4
215,9801,0,0,0,0,0,0,0,0,0,0,0
