,ISSUE_DATE,ADDRESS,CITY,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD,geometry,index_right,FID,OBJECTID,NH_CODE,NH_NAME,SHAPE_AREA,SHAPE_LEN,Shape__Are,Shape__Len
10641,2024-12-27 05:00:00,1805 S FLOYD ST,LOUISVILLE,40208,38.22083866,-85.75372247,6.0,UNIVERSITY,POINT (-85.75372247 38.22083866),44.0,45.0,45.0,71.0,UNIVERSITY,22759446.4023,32175.6858254,3430555.00390625,12504.9443629102
10642,2024-12-27 05:00:00,1011 CHEROKEE RD,LOUISVILLE,40204,38.24093065,-85.722044,8.0,CHEROKEE TRIANGLE,POINT (-85.722044 38.24093065),17.0,18.0,18.0,20.0,CHEROKEE TRIANGLE,27288229.1448,24982.7382953,4116574.99609375,9701.0128805024
10643,2024-12-27 05:00:00,"4402 NEWPORT RD, 3",LOUISVILLE,40218,38.17808533,-85.6406811,2.0,,POINT (-85.6406811 38.17808533),,,,,,,,,
10644,2024-12-27 05:00:00,3315 GILMORE INDUSTRIAL BLVD,LOUISVILLE,40213,38.17839663,-85.70024081,21.0,,POINT (-85.70024081 38.17839663),,,,,,,,,
10645,2024-12-27 05:00:00,5225 POPLAR LEVEL RD,LOUISVILLE,40219,38.16022329,-85.66316369,2.0,,POINT (-85.66316369 38.16022329),,,,,,,,,
10646,2024-12-27 05:00:00,727 N 33RD ST,LOUISVILLE,40212,38.27600362,-85.80083875,5.0,PORTLAND,POINT (-85.80083875 38.27600362),1.0,2.0,2.0,53.0,PORTLAND,70098295.0941,43851.3346581,10582289.578125,17022.1730714797
10647,2024-12-27 05:00:00,3906 HUNSINGER LN,LOUISVILLE,40220,38.20581572,-85.62131114,26.0,,POINT (-85.62131114 38.20581572),,,,,,,,,
10648,2024-12-27 05:00:00,2529 RIDGEWOOD AVE,LOUISVILLE,40217,38.21252993,-85.74335939,15.0,SAINT JOSEPH,POINT (-85.74335939 38.21252993),52.0,53.0,53.0,60.0,SAINT JOSEPH,16870756.5832,20421.7931986,2542919.70703125,7931.60766477006
10649,2024-12-27 05:00:00,9102 GLOVER LN,WESTWOOD,40242,38.28118279,-85.58315909,7.0,,POINT (-85.58315909 38.28118279),,,,,,,,,
10650,2024-12-27 05:00:00,5305 KATY BELLE CT,LOUISVILLE,40213,38.17217495,-85.69524492,21.0,,POINT (-85.69524492 38.17217495),,,,,,,,,
10651,2024-12-27 05:00:00,11501 MAGNOLIA VIEW CT,LOUISVILLE,40299,38.18503879,-85.55604974,20.0,,POINT (-85.55604974 38.18503879),,,,,,,,,
10652,2024-12-27 05:00:00,3825 MAMARONECK RD,LOUISVILLE,40218,38.20454449,-85.63924223,10.0,KLONDIKE,POINT (-85.63924223 38.20454449),63.0,64.0,64.0,44.0,KLONDIKE,22820490.3615,33271.2361591,3439068.91015625,12916.6732355087
10653,2024-12-27 05:00:00,5404 RIVER ROCK DR,LOUISVILLE,40241,38.32270191,-85.54182967,16.0,,POINT (-85.54182967 38.32270191),,,,,,,,,
10654,2024-12-27 05:00:00,3807 MEADOW HAVEN RD,LOUISVILLE,40218,38.19343073,-85.62230153,2.0,,POINT (-85.62230153 38.19343073),,,,,,,,,
10655,2024-12-27 05:00:00,831 CHEROKEE RD,LOUISVILLE,40204,38.24368771,-85.72406001,8.0,CHEROKEE TRIANGLE,POINT (-85.72406001 38.24368771),17.0,18.0,18.0,20.0,CHEROKEE TRIANGLE,27288229.1448,24982.7382953,4116574.99609375,9701.0128805024
10656,2024-12-27 05:00:00,"2430 MCKENDREE CT, 103",LOUISVILLE,40211,38.24825438,-85.79317686,4.0,CALIFORNIA,POINT (-85.79317686 38.24825438),16.0,17.0,17.0,14.0,CALIFORNIA,34280997.7634,24635.7794746,5171558.58984375,9562.54636869943
10657,2024-12-27 05:00:00,1508 CORNETTE WAY,LOUISVILLE,40216,38.176816,-85.80914168,15.0,CLOVERLEAF,POINT (-85.80914168 38.176816),81.0,82.0,82.0,24.0,CLOVERLEAF,20213041.9359,19107.5144213,3043897.98828125,7415.15452079604
10658,2024-12-26 05:00:00,"605 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23612898,-85.49220511,11.0,,POINT (-85.49220511 38.23612898),,,,,,,,,
10659,2024-12-26 05:00:00,"607 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23638322,-85.49216039,11.0,,POINT (-85.49216039 38.23638322),,,,,,,,,
10660,2024-12-26 05:00:00,"601 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23553283,-85.49206942,11.0,,POINT (-85.49206942 38.23553283),,,,,,,,,
10661,2024-12-26 05:00:00,"603 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23578927,-85.49216816,11.0,,POINT (-85.49216816 38.23578927),,,,,,,,,
10662,2024-12-26 05:00:00,"600 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23517619,-85.49201521,11.0,,POINT (-85.49201521 38.23517619),,,,,,,,,
10663,2024-12-26 05:00:00,"602 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23525895,-85.49172036,11.0,,POINT (-85.49172036 38.23525895),,,,,,,,,
10664,2024-12-26 05:00:00,"606 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23569173,-85.49140318,11.0,,POINT (-85.49140318 38.23569173),,,,,,,,,
